tweet_id_new,text
1, Can I know wen r you gonna reply.  I called up ur cust care sum days bk n dey asked me 2 send an email 2 contact.in since it's related 2 offers.  I send dem an email n 2day dey ask me 2 contact sales team since dis was at da time of sales.FIFA fever is on in ur office!
2,"RT : .     
I can't understand,Why so many issues with Dell La…"
3,"A Win for America: Dell to Phase Out All Computer Chips Produced in China

It’s about time. I hope this marks a trend. 
Thank you, ⁦⁩.  https://t.co/CZZwmQF9Bf"
5,"    I already connected with Dell reseller..Dell Service Center  and Dell care never told me, what is meaning of Denial of service. And what is reason. Every one told me contact to reseller. Now Reseller is helpless  Now what can I do for to repair"
6," Gotta love Dells team who don't listen to their customers. Supposed to receive a replacement monitor arm for the one damaged on arrival. You send a monitor, worse still it's the wrong monitor."
7, i don't understand this mail from the company two days before talk charges https://t.co/JgtNaz8ACU no guarantee this laptop technically faulty not repaired so need to replace this laptop my son loss study so ASAP need new laptop need no 9833426158 https://t.co/fBYQmNt5eh
8," Dear Dell,
pls wake up and hv a lk at what you sales and customer team are doing. Shame on you guys for holding my money for 50dys &amp; making fool o/of myself. this shows hw is ur cstmr service &amp; wt priority that you guys give to cstmr.
Rfnc Number:-158006885 #dellcustomercaresucks"
9, Your team on whatsapp named as Dell Technical Support are unable to resolve the issue that's why i am here
10,  Please do let me know if you get a reply
11,RT :  The worst company ever u manufacturing ur laptop to broke after one year exactly inspiron 1454 2in1
12, system is not getting power on at my work place https://t.co/9lsAIfMyIU
13, Can I get a support response from a human? Your Facebook and Twitter DMs seem to be a bot.
14, I've been nice and calm and understanding and frustrated and now I'm crying. Honestly.
15," Aren't these details sufficient?
If not call me."
16," The post was in some different dell portal; I found it again. Anyway. As per  rep my replacement unit wd be new unit as it was purchased recently.
But why a refurbished, scratchy old unit with wobbly stand was sent as replacement. My actual unit was totally scratch free"
17,  ¯\_(ツ)_/¯ Not sure what to do if the shipment doesn’t arrive tomorrow.
19,"I am facing issues with  laptop display and battery but they are not providing me any solution in warranty they say that is not an issue, never go for  laptops or any product, they will not even listen to you  . #DELL #dontbuydell #boycottdell https://t.co/JM5os3A5Om"
20,After facing a hell of troubles in this short span I’m feeling like I’m using a junk product. I’m pleading with     to replace my product. 73K is not a small amount.
21, I can tell you that the streaming quality on my new Dell desktop has improved dramatically since I ditched Chrome and went with the new 'Edge. Which is strange when you think the new Edge is based on Chrome open source. Go figure!
22," I am very disappointing with the customer care
I made a online purchase of laptop on 4th Nov but due to network glitch though the amount was deducted from my account,  i called customer care they provided one mail id to raise the issue."
23,"RT : 🗃️ Maximize your screen space with #Windows Snap Layout Groups.

Watch to see how!
#DellTips #WindowsTips 

Learn more &gt;&gt; ht…"
24," Yes, I do #DellNeighborhood

 
Can someone from the team review and let Dell take accountability of the screen issues with Dell XPS 13 9360 laptop?

In my research, I found many users reporting the same issues. I spent a fortune for the laptop
https://t.co/36fmbcHhk5"
25,  wrote to them with screenshots
27," On https://t.co/jrVaVcTCJT website, Dell advertises 10% discount for active duty and veterans, but verification of service requires .MIL email address. .MIL domain is active duty so vets don’t have .MIL address. How do vets prove eligibility?"
28,"  Agree. I have been a Dell customer for 30
Years. They are not the same company."
29," I ordered something two months ago and was told today my order might not be filled and it could be cancelled because it was ""oversold"". Sure as hell got my accessories for the computer I might not get. Super dissapointed."
30,    .  sold defective products to indian customers. #Dellcheated. My worse  experience with .  is a fraud company.    https://t.co/g0ethgf7aJ https://t.co/7XJDYqUnN6
31,"RT : 📦 Do you have questions about ordering from us for the holidays?

Check out our order FAQs. 

Tap here: ➡️ https://t.co/2Yyb…"
32," If we didn't have our smart phones we would have gotten a new computer long ago.  We will never, ever buy a Dell again.  Going to buy a cheap laptop and I guarantee it will work better than this worthless $1200 Dell."
33,"      Dell Delivering defected products &amp; regrettable services. following fell team for last ten days, case Id-155929190 still unresolved. Hope this message will awake deaf &amp; dumb officials of Dell."
34, Yup guys have the service I have ever seen
35," I am very sorry your experience with our support team has not been positive so far. Thank you for your patience. Please contact 1-800-288-4410
7 am – 12 am CST Monday to Friday

Totally fucking useless. "
37,       What is the problem ?
38,RT :    and  are worst at service. They have still not replying or refunding my money bac…
39,RT :  I’m really frustrated just trying to get through to someone that can help me with my account. I’ve had 2 frau…
40," I will NEVER buy another DELL laptop again, the one I purchased last year is complete junk. Motherboard replaced twice, tech out to repair it twice. Right now it wont even turn on &amp; needs to be sent back, again. It. Is. Junk."
41,"You gave all the relate info to the fourth (4) rep, wait for their 5 mins background check, after another 5mins check, verify again, said service tag verify now, Sent me to the fifth (5) rep.     #boycottdell #FraudAlert"
42,"RT :       
Guys See how dell team is responding to requests for…"
43,    Just use Dell Command Update.
44, They are not responding
45,Just received my latest  computer and specs don't match the order. Apparently you can order a computer 24/7 but can only get support for your existing order between 8:30 and 8:31A. 2nd disastrous experience w/Dell. Who is the best alternative for business PC's nowadays?
46, Please don’t make any blind promises that you can’t do it!! Thank you DELL for letting me know that your cash back gimmick is actually a fraud trick.. Is this your best story?? You and your cashback gimmick. Total nonsense     
47,"RT :        
Guys See how dell team is denying to…"
48," Chatting constant, but no response"
49, Good day and happy december 27th! 
51,"Purchased a $2,500 XPS Laptop now 40 days old

- USB-C port burns/melts/smokes on day 40

- Last XPS laptop &amp; known battery fault battery expanded and melted (known supplier defect) and no help

- Contact service and they end chat with no resolution or help

 "
52,"I'm done with  and  ... back in July I had a software issue with my XPS 13 that my audio didn't work when I used the jack plug. After trying a couple of things without success, under warranty, Dell agreed to send out an engineer ........"
53,"      
sir help me 
 I have a problem with a Dell laptop since April, I contacted support, and the problem was not resolved. I went to three service centers and it didn't solve the problem. And now I ask to replace the laptop."
54,           PLS. ARRANGE TO EITHER REPLACE/ EXCHANGE OR RECYCLE OLD HARDWARE MACHINES (DESKTOP/ LAPTOPS/ ROUTERS/ MODEMS ETC.) AT THE EARLIEST.THE MATTER IS URGENT.
56, URGENT - PLEASE CONTACT ME -  have delivered to wrong address!  The photo of delivery they have posted IS NOT MY HOUSE.  I don't recognise it.
57,"  
I’ve asked for a replacement for a Faulty laptop and it’s been 17 days! No timely responses from the team. Being an old customer, I didn’t expect such unprofessional attitude from Dell. Highly disappointed!!-- https://t.co/dEKozCbCpi"
58," Hi, I have Dell Inspiron 15 3000 - i3 4GB Ram laptop: it's not turning on/ not working - it is showing black screen only. It shows Dell icon but after that only black screen.
Kindly help!! https://t.co/vxUOrIEuS2"
60," , This dell person did the fraud with me. I have prepaid fir the product,  but after taking the money he keep quite. https://t.co/A0gMJXbews"
61,           PLS. ARRANGE TO EITHER REPLACE/ EXCHANGE OR RECYCLE OLD HARDWARE MACHINES (DESKTOP/ LAPTOPS/ ROUTERS/ MODEMS ETC.) AT THE EARLIEST.THE MATTER IS URGENT.
62,      .  sold defective products to indian customers. #Dellcheated. My worse  experience with .  is a fraud company. https://t.co/g0ethgf7aJ https://t.co/Kl5hQzUSv7
64,"  the issue is not resolved  yet and no satisfactory response only the customer need to suffer. One of the premium laptop having issue Not at all acceptable from such a promising brand 

#DellInspiron16 #DellIndia #DellTech https://t.co/on3BxuwE7z"
65,  It’s hard to imagine  not caring that so many people - many of whom are decades-old customers - are following the failure of his company to provide basic support to customer with a large following.
66, UPDATE: Had to personally travel to another city and pickup the laptop cause three international companies could not get it 40 km away.
67," Unfortunately, I wasn't able to get to a real person. And since my warranty has expired all I could get was a robot that didn't do much for me."
68,"Nope, just warning people. https://t.co/4LSbXr6T0U"
69," MY GUY.

THIS IS NOT MY POST.

I DO NOT BUY YOUR SHITTY PRODUCTS.

MY FRIEND  HERE, UNFORTUNATELY DID.

AND YOU OWE HER A CHARGER.

SO GO TALK TO HER INSTEAD OF ME."
70, Hi pl note that I have a dell laptop which bought nearly two years back and currently not working pl. assist
71, Naaa I’ll call ya Monday along with Absolute bcuz you or Absolute Software gonna disable that CompuTrace
72," No way 🤣
Y’all already done told me you cant help me 💀"
73,"RT :  Hello, I see you are looking for technical assistance. If you need our help, you can follow  and start…"
74," Why will you not refund my money that does not belong to your company?
DellCares
 26m
Replying to 
"
75,"  
I need Key pad with pamrest, and right side usb port. Not mouse https://t.co/gePxxWH6Zf"
76,"., what the hell is this fluid? I have already got it on my hands."
77, Thanks. I just canceled on the website. How long will it take for me to have access to my Dell card funds from the cancelled order?
78,"RT :  Hello, we are here to help you with this problem. Please follow and send a direct message  for ass…"
80,"We bought a Dell G15 5521 Special Edition laptop in October 2022 from the official dell India store.
We have on-site premium support for this laptop along with extended warranty. 

  "
81,"the type of support we get from #dell tech support,#DELLcares i purchased dell vastro 3400 in april first week -till now repaired it 2 times motherboard change and power button change also but system not working from last one month the team not at all supporting for replace https://t.co/cGSkQnI4ar"
82," please look into it or change your policy... Or give the perfect service to your customers
   "
83,"RT : Purchased a $2,500 XPS Laptop now 40 days old

- USB-C port burns/melts/smokes on day 40

- Last XPS laptop &amp; known bat…"
84, Dell cares? I dont really think. Funny how you think tht your customers are happy while the ground reality is so different. Ive been dealing wth dell for almost 2mnths now &amp; my issue isnt resolved. The best part is closure of my case without resolution. Thanks dell.
85,  I am Sick and tired of raising complaints!! This dell laptop junk is nothing but a piece of insult!!    the camera of this laptop is non functional!! plz help asap!! https://t.co/LHKn4pNpOk
86, As expected. Can’t help me.  Dell cares is a joke
87, It has been a very depressing experience with  since they hardly care about a consumer and mostly about themselves. They failed to comply to the warranty of a laptop because of an AC adapter. Pls help if possible https://t.co/jqqgKF25Bz
88," Hi Dawn, unfortunately we can't change our service opening hours, but we would like to discuss this error you've experienced with your Dell Rewards points. Please send us a DM via  or , so we can look into this for you!"
89," Hi

Against the captioned Invoice of Rs 8909, I have been charged Rs. 10089 through Credit Card on 29th October. Yet to get refund despite repeated follow up."
90,"
I have a Precision 3630 where it looks like bios is toasted as power comes on but clicks on and off every 30 seconds or so, with nothing showing on screen. Fans come on, so must be bios. cmos reset using jumper, battery replaced, no joy.
Any advice to save pc please?"
91," Nope, about screen

 
Can someone from the team review and let Dell take accountability of the screen issues with Dell XPS 13 9360 laptop?

In my research, I found many users reporting the same issues. I spent a fortune for the laptop
https://t.co/36fmbcHhk5"
92, you rep is keeping me on hold from last 20 mins on chat and there is no response . What a port experience you are creating.
93,"The worst laptops to buy? -  
The worst customer service?  
Buy a different brand"
94,RT :  Shame on Dell Techsupport. Despite having annualised hardware warranty they are not providing any support.…
95,  your support doesn't make sense and responding differently for each person. I regret extending my warranty.
96,Hello  i have bought my dell workstation precision 3660 3 months ago. It was working fine but  2 week ago suddenly hard drive stoped working. I contacted to dell care they said it's not in your service to replace damaged hardware   
97, Help me out
98,"  My laptop Dell Inspiron 1545 is now having freezing and hanging issues , i am unable to use it. , While I close the laptop during freeze , this error shows with beep sound.   I am recently installed windows 10 Pro OS 32bit on my 64bit laptop... https://t.co/SvBLrTeOaQ"
99," if the matter is that serious, a weird system is in place. No onsite inspection for software issues. Then is the team expecting that which the tech experts couldn’t solve a layman would be able to do so? Is is lac of expertise or right process?"
100,"      Dell Delivering defected products &amp; regrettable services. following fell team for last ten days, case Id-155929190 still unresolved. Hope this message will awake deaf &amp; dumb officials of Dell"
101, When paper work will be completed any date?
102,    in the business of scamming the customers by selling faulty devices. https://t.co/EGH8pmsa3d
103,"   suggest my close and near ones to not buy any product of dell

It has very wrost experience with me 
Any worker is not ready to help the coustomer if he/she is in problem"
104,  Surely they have to give you some form of compensation-  or so they say they do
105, over a month now I keep getting told the parts are backorder but tec support says they are all in stock I think he is messing with me
106,"  DELL SERVICE REQUEST
160246371"
107, I'll contact you tomorrow...this is exhausting...
108,"Hello   why is that my Dell laptop battery duration has suddenly dropped once the warranty is over?
I have been very carefully following the 'charge-discharge' method for better battery life.
What did you do?
#dell #DellTech #Laptop #DellLaptop #battery"
109,      Let's see how support goes for this New Year...   https://t.co/RaPncnMpmO
110,"RT : Hey Dell India, why make it so painful to buy your computers? It’s almost like you want to reject paying customers. Why…"
111,   Oh damn..it never came the other day? R u using the free laptop 🤷🏽‍♀️
112," Request that your sales team make contact to explain what is going on

Please can you confirm the process for compensation for my wasted time and  complete failure to honor their own terms and conditions"
113,"Can any of the Dell user(india) have order no of there offline purchase?
I used to get order no only from online purchase, local seller don't provide order no.
And now Dell support need what I don't have just to delay replacement till warranty expires.
   https://t.co/FVxDmkeSDD"
114,"     Just wait! If you need any repairs, it gets to be even more fun on out of warranty stuff"
115," We are chatting since long time on the 4yrs old issue, still waiting for #justice"
117, I messaged about an order problem and got automated asked about a computer instead
118, Have sent the message privately as requested
119, Service not upto scratch. Significant monies spent on #dell #xls and no working product no end in sight  #wait #justwait #noservice #noparts  #norefund #noproduct #unhappy #unsatisfactory
120,". Tried to verify ANOTHER order.  This time Vani S phoned me from Penang, asked for my student email and a few other details, and then hung up the phone."
121, I'm just going to continue to put this in front of . regularly every single day until my original order is fulfilled.
122, On 10th November. 2022 I tried to place an order for Vostro 3510 laptop from Dell Technologies website. The amount got deducted from my bank Ac but the order wasn't placed. I have written several emails to dell team but not a single reply has come in these 5 days. https://t.co/PKaufYSL6j
123,"I bought a laptop in October 2022 and it's hinges are broken two times in two months.
Is this your quality?     
Please repair it asap or else i have to change the product and i will others too not to buy your products. 
Thanks!"
124," :) my order status was not visible for 7 days and was not getting Confirmed for 3 days. Had to finally request cancellation. Now looks like you need 15 days to refund, while there are others who are doing in secs. You need to catch up on tech."
125,RT : Dell used to be a great brand. Sadly the brand is no longer the quality it was &amp; the customer service is no existence. In 4y…
126,"   
  Hello, the case number for my case is 154796397. It's been almost ten days, and they still haven't responded to my emails or phone calls. This is extremely poor service from the Dell technician."
128,"RT : So , today is the 7th day in a row you’ve cancelled my engineer meaning I’ve spent the last 7 days unable to work &amp;…"
129," Dear Dell,
pls wake up and hv a lk at what you sales and customer team are doing. Shame on you guys for holding my money for 50dys &amp; making fool o/of myself. this shows hw is ur cstmr service &amp; wt priority that you guys give to cstmr.
Rfnc Number:-158006885 #dellcustomercaresucks"
130,RT :   Less is more.
131," And Screens?

 
Can someone from the team review and let Dell take accountability of the screen issues with Dell XPS 13 9360 laptop?

In my research, I found many users reporting the same issues. I spent a fortune for the laptop
https://t.co/36fmbcHhk5"
132," I can provide you with full images of the order details, it's 4 pages long."
133,"  &lt;1yo laptop went for repair with you Nov,  appear to have lost it when returning post-repair. Your support useless in sorting out. Without laptop for over a month. Promises to phone me back in 24hrs not kept. Need a working laptop, HELP!"
134,"   Hi, I'd actually like to put in a formal complaint in writing. Please send me the relevant address (either email or physical). Thank you."
136, You aren't sorry to hear about anything you did nothing but lie to me yesterday during our exchanges. Worst customer service experience I've ever had in my entire life omg.
137, Sent
138,"RT :  Your service center takes almost one month to get the parts arranged? Firstly, The hinges of your hyped #DELL #i…"
139,           PLS. ARRANGE TO EITHER REPLACE/ EXCHANGE OR RECYCLE OLD HARDWARE MACHINES (DESKTOP/ LAPTOPS/ ROUTERS/ MODEMS ETC.) AT THE EARLIEST.THE MATTER IS URGENT.
140," 
Can someone from the team review and let Dell take accountability of the screen issues with Dell XPS 13 9360 laptop?

In my research I found many users reporting the same issues. I spent a fortune for the laptop

https://t.co/36fmbcHP9D"
141," 2/6  Had 3 different  service techs come to replace parts and the same issues still persisted. Was told to ship the laptop back to  to replace parts. After which, the same issues still persisted..."
142, Hi   I spent over 24 hours on calls with you - likely x3 that. My laptop never worked properly &amp; has never the same reoccurring bugs. Light use on an elevated stand. I was a diehard Dell fan as you took such good care of me on my previous 2 laptops. Now - never again.
143," I have tickets open with your support, but they're not getting anywhere."
144,"            

Do Croma and Dell have any reply that my product is neither changed nor rectified please do not disturb us by calling us, https://t.co/pOr5nYYQGA"
145, I'll wait for your upcoming mail.
146,"    Hi team, have you any positive response? or still you will be avoid the customer."
147,  be careful with Dell orders-I got different low model but I paid more for the higher model and now Dell sales and support team said they can not do anything .I think   are better than  #poweredg https://t.co/YUn5K16ke6
148,RT : Also  is closing cases on behalf of   /  this violates:
149,  i have sent you the details
150,"I hope you do -  - bought extended support for my laptop - order cancelled by Dell without any reason given why and this morning my computer won’t start - hmmmmmm - interesting timing. 

I’m on hold with the 3rd person who is about to send me to a 4th person"
151,"Normal free delivery was 12/27, I paid $60 for ""expedited delivery"" and this is there response.  They stole the money and they don't care. https://t.co/vZiKY242Ar https://t.co/Q0WnMPaPl8"
152, The reason why i kept tag is to make sure your team know the issue easily than reverting  multiple times .I understand the severity
153,RT :            PLS. ARRANGE TO EITHER REP…
154,"RT : 🧑‍💼 Planning on working from home during the holidays?

ℹ️ We have a guide that has tips and resources to help whether you'r…"
155, India is selling a budled i7 desktop and monitor worth 90K. The monitor cost is 23K in that bundled offer. But a similar monitor costs INR 9300 in their own website. This is not good ... Please be aware while buying bundled desktop from Dell...  
156, I am following 
157,"      Dell Delivering defected products &amp; regrettable services. following fell team for last ten days, case Id-155929190 still unresolved. Hope this message will awake deaf &amp; dumb officials of Dell"
158, I have purchased the Dell Laptop one year back (Dell G15) now I am facing the heating issue can you explain me why i am facing this problem
159,"RT : 🚚 Waiting on your #Dell order?

Quickly and easily check your order status here:  https://t.co/kSoxwiyjee https://t.co/uEuUi…"
160, No beacause the issue was resolved by   And you have just standing apart from the issue So you  was a waste of time and resources and now this mistake will never repeat.
161, Service reference number is 155611754
162,    Dell Laptop service tag 8LLZYP3. Dell support team is full of cheats and are crooked cheating young students. They called my son and told to return the defective laptop and will refund the money.
163,"I'm using  laptop from last 2 years,  but now the laptop is very slow in loading  and gives hissing sounds from below surface   

Name of purchaser = Deepali Singasane 
Name of place = Dombivli
Purchased from Vijay Sales
LAPTOP MAKE = Dell celiron"
165, I need urgent assistance please
166, Already followed
168,Had a very bad experience with  .
169,"Need a new computer? A larger television? When it comes to purchasing your electronics it's not just about the price!

#cybermonday
#pollutioncontrol
 

 

Find out more @ https://t.co/EzYm16mZVP https://t.co/KIkVjD4ZD1"
170," How to locate the truth?

 
Can someone from the team review and let Dell take accountability of the screen issues with Dell XPS 13 9360 laptop?

In my research, I found many users reporting the same issues. I spent a fortune for the laptop
https://t.co/36fmbcHhk5"
171, Sorry. I ment in fortnite.
172,"   Yup seems that way.  Time to move on for me.  They can redeem themselves but the rep literally cancelled the chat with me and told me to contact ""another Dell team.""  Pitiful."
174," Hi all, do not purchase anything from dell. Service of dell is very poor at every stage. At the time of sale &amp; after sale. They took my order &amp; now saying due to part shortage delivery is delayed. Why you take order if you don’t have parts in stock?"
175," Dell XPS 9550 - purchased 4 years ago at almost £1000, now has a motherboard failure. Beyond frustrating..."
178," hello, i need to reinstall the pre-version fireware driver for my docking station.  Where can i find it please?  Dell downloads page doesnt list older versions.  Thanks"
179,"Does  really care ? Display of a new Dell laptop broke down in less than 20 days. Instead of replacing the laptop, Dell support asked me to wait for 2 weeks to schedule repair !! Does Dell really care for the customers ?"
180, Is this not private already .
181,  they won't be able to see your tweet because you're a private account! Direct Message them on their main page at 
182,"   
This is really disappointing. I never expected such a behaviour from Dell."
183,      INSTRUCTIONS INCOMPREHENSIBLE INSIPID BRIGHTNESSIS DARKER THAN A BLACK HINDU PROGRAMMERS ILLITERATE DELL CARES IS A JOKE DELL SELLS JUNK BEWARE TWITTER WORLD
184,"  
Payment made for laptop online on 13 Jan 2023.
Mailed tons of times details to your sales associates. 
Payment is successful as per bank
No order generated from Dell. 
Pathetic response from Hinal.patel.com
Sri_krishna_kolli.com
Shruti_V1.com"
185,Made $1230 holy crap 🔥               https://t.co/vd7uJKPdf9
186,"  My laptop was stolen from my car in Guru Harkishan Nagar Under PS Paschim West. 
 Can you help me in tracing it, because  isn't doing anything..
 "
187, my computer completely shut down
188,     I have been waiting for a refund on a broken laptop I returned in early November. Dell doesn't care.
